Yr,Mo,Da,Time,Group Size,Toby?,Latitude,Longitude,Full Yr,Full Mo,Full Da,Pre Time,Pre Height,Post Time,Post Height
2020,8,14,7.316666667,2,T,"21°28'40"" N","157°49'32"" W",2020,8,3,4.666666667,0,12.6,2.4
2020,8,14,7.316666667,2,T,"21°28'41"" N","157°49'31"" W",2020,8,3,4.666666667,0,12.6,2.4
2020,8,14,7.316666667,4,T,"21°28'54"" N","157°49'38"" W",2020,8,3,4.666666667,0,12.6,2.4
2020,8,14,7.316666667,1,T,"21°29'11"" N","157°49'45"" W",2020,8,3,4.666666667,0,12.6,2.4
2020,8,14,7.316666667,1,T,"21°29'17"" N","157°49'47"" W",2020,8,3,4.666666667,0,12.6,2.4
2020,8,15,6.25,7,T,"21°29'25"" N","157°49'45"" W",2020,8,3,5.5,-0.1,13.1,2.6
2020,8,15,6.25,3,T,"21°29'17"" N","157°49'41"" W",2020,8,3,5.5,-0.1,13.1,2.6
2020,8,15,6.25,2,T,"21°28'45"" N","157°49'33"" W",2020,8,3,5.5,-0.1,13.1,2.6
2020,8,16,6.75,6,T,"21°28'42"" N","157°49'31"" W",2020,8,3,6.25,-0.3,13.6,2.8
2020,8,16,6.75,3,T,"21°29'15"" N","157°49'37"" W",2020,8,3,6.25,-0.3,13.6,2.8
2020,8,16,6.75,3,T,"21°29'22"" N","157°49'47"" W",2020,8,3,6.25,-0.3,13.6,2.8
2020,8,19,6.416666667,3,T,"21°28'46"" N","157°49'33"" W",2020,8,3,1.75,1.6,8.333333333,-0.4
2020,8,19,6.416666667,2,T,"21°29'5"" N","157°49'45"" W",2020,8,3,1.75,1.6,8.333333333,-0.4
2020,8,19,6.416666667,1,T,"21°28'42"" N","157°49'31"" W",2020,8,3,1.75,1.6,8.333333333,-0.4
2020,8,19,6.416666667,1,T,"21°29'9"" N","157°49'45"" W",2020,8,3,1.75,1.6,8.333333333,-0.4
2020,8,22,7.033333333,3,T,"21°28'41"" N","157°49'31"" W",2020,8,3,4.466666667,1.7,10.5,0.4
2020,8,27,6.633333333,3,T,"21°29'24"" N","157°49'46"" W",2020,8,3,3.7,0.1,11.93333333,2.5
2020,8,27,6.633333333,2,T,"21°28'56"" N","157°49'36"" W",2020,8,3,3.7,0.1,11.93333333,2.5
2020,8,29,6.416666667,1,T,"21°28'34"" N","157°49'21"" W",2020,8,3,5.733333333,-0.1,13.11666667,2.7
2020,9,2,7.2,1,T,"21°28'55"" N ","157°49'53"" W",2020,9,2,1.85,1.6,8.25,0
2020,9,11,6.25,1,T,"21°28'22"" N","157°49'11"" W",2020,9,2,2.65,0.3,11.41666667,2.2
2020,9,11,6.25,1,T,"21°29'16"" N","157°49'42"" W",2020,9,2,2.65,0.3,11.41666667,2.2
2020,9,14,7,0,T,,,2020,9,2,6,-0.1,13,2.7
2020,9,23,6.733333333,1,T,"21°28'50"" N","157°49'35"" W",2020,9,2,0.1166666667,0.1,9.016666667,2.2
2020,9,23,6.733333333,1,T,"21°29'3"" N","157°49'42"" W",2020,9,2,0.1166666667,0.1,9.016666667,2.2
2020,9,26,6.35,1,T,"21°29'22"" N","157°49'38"" W",2020,9,2,4.633333333,0.3,12.05,2.5
2020,9,30,7,0,T,,,2020,9,2,1.3,1.8,7.516666667,0.2
2020,10,6,6.6,3,T,"21°28'26"" N","157°49'12"" W",2020,10,1,4.983333333,2.1,11.33333333,1.1
2020,10,6,6.6,2,T,"21°28'8"" N","157°49'7"" W",2020,10,1,4.983333333,2.1,11.33333333,1.1
2020,10,6,6.6,1,T,"21°28'38"" N","157°49'27"" W",2020,10,1,4.983333333,2.1,11.33333333,1.1
2020,10,9,6.45,8,T,"21°28'18"" N","157°49'10"" W",2020,10,1,-0.4,0.3,9.4,2.1
2020,10,9,6.45,1,T,"21°28'40"" N","157°49'26"" W",2020,10,1,-0.4,0.3,9.4,2.1
2020,10,9,6.45,1,T,"21°28'32"" N","157°49'19"" W",2020,10,1,-0.4,0.3,9.4,2.1
2020,10,9,6.45,1,T,"21°28'24"" N","157°49'11"" W",2020,10,1,-0.4,0.3,9.4,2.1
2020,10,11,7.566666667,3,T,"21°28'41"" N","157°49'28"" W",2020,10,1,3.433333333,0.3,11.15,2.4
2020,10,11,7.566666667,2,T,"21°28'32"" N","157°49'16"" W",2020,10,1,3.433333333,0.3,11.15,2.4
2020,10,11,7.566666667,1,T,"21°28'32"" N","157°49'20"" W",2020,10,1,3.433333333,0.3,11.15,2.4
